,positive,negative,neutral,compound
2018-11-29,0.1,0.06,0.83,0.15
2018-11-30,0.08,0.08,0.83,0.02
2018-12-01,0.08,0.07,0.85,0.13
2018-12-02,0.07,0.08,0.85,-0.07
2018-12-03,0.14,0.05,0.81,0.28
2018-12-04,0.09,0.04,0.86,0.22
2018-12-05,0.1,0.06,0.84,0.19
2018-12-06,0.1,0.06,0.84,0.14
2018-12-07,0.11,0.03,0.85,0.34
2018-12-08,0.13,0.02,0.85,0.36
2018-12-09,0.16,0.03,0.81,0.46
2018-12-10,0.12,0.07,0.81,0.23
2018-12-11,0.11,0.04,0.85,0.29
2018-12-12,0.14,0.06,0.81,0.34
2018-12-13,0.1,0.06,0.85,0.14
2018-12-14,0.09,0.07,0.84,0.04
2018-12-15,0.38,0.02,0.6,0.68
2018-12-16,0.32,0.02,0.66,0.72
2018-12-17,0.37,0.0,0.63,0.84
2018-12-18,0.34,0.01,0.66,0.78
2018-12-19,0.09,0.07,0.83,0.1
2018-12-20,0.1,0.06,0.85,0.15
2018-12-21,0.08,0.05,0.86,0.11
2018-12-22,0.13,0.03,0.84,0.39
2018-12-23,0.15,0.05,0.8,0.5
2018-12-24,0.09,0.07,0.85,0.02
2018-12-25,0.07,0.07,0.85,0.11
2018-12-26,0.1,0.08,0.83,0.08
2018-12-27,0.07,0.06,0.87,0.05
2018-12-28,0.07,0.07,0.86,-0.01
2018-12-29,0.04,0.05,0.91,-0.1
2018-12-30,0.1,0.09,0.82,0.07
2018-12-31,0.1,0.05,0.85,0.22
2019-01-01,,,,
